tool_name,type,value,ports,date_added
Rodex RMM,domain,rodex.cc,443,2026-05-11
Rodex RMM,domain,www.rodex.cc,443,2026-05-11
Rodex RMM,domain,<operator-controlled VPS hostname or IP>,443,2026-05-11
RemSupp,domain,api.remsupp.com,443,2026-05-11
RemSupp,domain,download.remsupp.com,443,2026-05-11
Lunixar,domain,*.lunixar.com,23501,2026-05-11
Lunixar,domain,lunixar.com,23501,2026-05-11
Lunixar,domain,app.lunixar.com,23501,2026-05-11
Lunixar,domain,socket.lunixar.com,23501,2026-05-11
Lunixar,domain,downloads.lunixar.com,23501,2026-05-11
Lunixar,domain,devrmm.lunixar.com,23501,2026-05-11
Lunixar,domain,mymeetinggoogle.com,,2026-05-11
TrustConnect,domain,trustconnectsoftware.com,443,2026-05-19
TrustConnect,domain,networkservice.cyou,443,2026-05-19
Faronics Insight,domain,faronics.com,443,2026-05-19
Faronics Insight,domain,www.faronics.com,443,2026-05-19
Faronics Insight,domain,support.faronics.com,443,2026-05-19
Faronics Insight,domain,docs.faronics.com,443,2026-05-19
Faronics Insight,domain,user_managed,"1313,8080",2026-05-19
ShellHub,domain,shellhub.io,"443,80",2026-05-19
ShellHub,domain,cloud.shellhub.io,"443,80",2026-05-19
ShellHub,domain,www.shellhub.io,"443,80",2026-05-19
ShellHub,domain,*.shellhub.io,"443,80",2026-05-19
LocalXpose,domain,localxpose.io,443,2026-05-19
LocalXpose,domain,*.localxpose.io,443,2026-05-19
LocalXpose,domain,api.localxpose.io,443,2026-05-19
PiTunnel,domain,pitunnel.com,443,2026-05-19
PiTunnel,domain,www.pitunnel.com,443,2026-05-19
PiTunnel,domain,*.pitunnel.com,443,2026-05-19
Monitic,domain,api.monitic.com,443,2026-05-19
Monitic,domain,app.monitic.com,443,2026-05-19
Monitic,domain,devapi.monitic.com,443,2026-05-19
Monitic,domain,turn.monitic.com,"443,3478",2026-05-19
Monitic,domain,monitic.com,443,2026-05-19
Monitic,domain,www.monitic.com,443,2026-05-19
Dataplicity,domain,dataplicity.com,443,2026-05-19
Dataplicity,domain,www.dataplicity.com,443,2026-05-19
Dataplicity,domain,*.dataplicity.com,443,2026-05-19
Dataplicity,domain,*.wormhole.dataplicity.com,443,2026-05-19
GLPI Agent,domain,N/A (listens on httpd-ip — default 0.0.0.0 — on the agent host),62354,2026-05-19
GLPI Agent,domain,<operator-configured GLPI server>,"80,443",2026-05-19
GLPI Agent,domain,glpi-project.org,443,2026-05-19
GLPI Agent,domain,www.glpi-project.org,443,2026-05-19
GLPI Agent,domain,nightly.glpi-project.org,443,2026-05-19
GLPI Agent,domain,forum.glpi-project.org,443,2026-05-19
GLPI Agent,domain,glpi-network.com,443,2026-05-19
GLPI Agent,domain,services.glpi-network.com,443,2026-05-19
GLPI Agent,domain,github.com,443,2026-05-19
GLPI Agent,domain,objects.githubusercontent.com,443,2026-05-19
Faronics Deep Freeze,domain,deepfreeze.com,443,2026-05-19
Faronics Deep Freeze,domain,www.deepfreeze.com,443,2026-05-19
Faronics Deep Freeze,domain,faronicscloud.com,443,2026-05-19
Faronics Deep Freeze,domain,cloud.faronics.com,443,2026-05-19
Faronics Deep Freeze,domain,upd.faronicslabs.com,"80,443",2026-05-19
Faronics Deep Freeze,domain,faronics.com,"80,443",2026-05-19
Faronics Deep Freeze,domain,www.faronics.com,"80,443",2026-05-19
Teramind,domain,*.teramind.co,443,2026-05-19
Teramind,domain,teramind.co,443,2026-05-19
Teramind,domain,www.teramind.co,443,2026-05-19
Teramind,domain,rt.teramind.co,443,2026-05-19
Teramind,domain,sentry.dev.teramind.co,443,2026-05-19
Teramind,domain,<on-prem-master-server-host>,10000,2026-05-19
Teramind,domain,<on-prem-app-server-host>,"10000,10001,10500,11000",2026-05-19
